dish_id,base_dish_name,regional_alias_name,english_translated_name,region,state,city_or_district,community_identity,gi_status,gi_tag_details,famousness_tier,dish_type,consumption_type,consumption_time,occasion_description,cooking_method,ingredients_used,dish_image_url,source_type,source_url
Z1-UP-01,Awadhi Biryani,Awadhi Biryani,Fragrant layered rice biryani,North,Uttar Pradesh,Lucknow,Awadhi,NA,NA,Global,Non-Veg,occasional,,Served at weddings and royal-style feasts in Awadh.,Dum/Braised,"basmati rice, meat, yogurt, saffron, fried onions, spices",https://placehold.co/1200x800?text=Awadhi%20Biryani,Wikipedia,https://en.wikipedia.org/wiki/Awadhi_biryani
Z1-UP-02,Tunday Kebab,Lucknowi Minced Kebab,Spiced Lucknowi minced kebab,North,Uttar Pradesh,Lucknow,Awadhi,NA,NA,Global,Non-Veg,occasional,,Associated with Lucknowi royal and celebratory cuisine.,Fried,"minced meat, gram flour, spices, onion, papaya",https://placehold.co/1200x800?text=Tunday%20Kebab,Wikipedia,https://en.wikipedia.org/wiki/Tunday_kabab
Z1-DL-01,Butter Chicken,Butter Chicken,Creamy tomato chicken curry,North,Delhi,Delhi,Delhite,NA,NA,Global,Non-Veg,everyday,dinner,,Simmered/Stewed,"chicken, tomato, butter, cream, kasuri methi, spices",https://placehold.co/1200x800?text=Butter%20Chicken,Wikipedia,https://en.wikipedia.org/wiki/Butter_chicken
Z1-DL-02,Daulat Ki Chaat,Winter Milk Foam Dessert,Whipped winter milk dessert,North,Delhi,Delhi,Delhite,NA,NA,National,Veg,occasional,,Seasonal winter street dessert served at festive morning markets.,Boiled,"milk, cream, sugar, saffron, nuts",https://placehold.co/1200x800?text=Daulat%20Ki%20Chaat,Wikipedia,https://en.wikipedia.org/wiki/Daulat_ki_chaat
Z1-JK-01,Rogan Josh,Kashmiri Lamb Curry,Aromatic lamb curry from Kashmir,North,Jammu and Kashmir,Srinagar,Kashmiri,NA,NA,Global,Non-Veg,occasional,,Traditionally served in celebratory Kashmiri Wazwan meals.,Simmered/Stewed,"mutton, yogurt, fennel, chili, spices",https://placehold.co/1200x800?text=Rogan%20Josh,Wikipedia,https://en.wikipedia.org/wiki/Rogan_josh
Z1-JK-02,Kashmiri Dum Aloo,Kashmiri Dum Aloo,Potatoes cooked in spiced yogurt gravy,North,Jammu and Kashmir,Jammu,Kashmiri,NA,NA,National,Veg,occasional,,Served in Kashmiri home feasts and vegetarian spreads.,Dum/Braised,"baby potatoes, yogurt, fennel, ginger, chili, spices",https://placehold.co/1200x800?text=Kashmiri%20Dum%20Aloo,Wikipedia,https://en.wikipedia.org/wiki/Dum_aloo
Z1-LD-01,Skyu,Ladakhi Pasta Stew,Hand-rolled wheat pasta stew,North,Ladakh,Leh,Ladakhi,NA,NA,National,Veg,everyday,lunch,,Boiled,"wheat flour, vegetables, potatoes, ghee, spices",https://placehold.co/1200x800?text=Skyu,Wikipedia,https://en.wikipedia.org/wiki/Skyu
Z1-LD-02,Thukpa,Noodle Soup,Warm noodle soup,North,Ladakh,Kargil,Ladakhi,NA,NA,Global,Veg,everyday,dinner,,Boiled,"noodles, vegetables, broth, garlic, ginger, spices",https://placehold.co/1200x800?text=Thukpa,Wikipedia,https://en.wikipedia.org/wiki/Thukpa
Z1-CH-01,Chandigarh Street Chaat,Chandigarh Street Chaat,Mixed street chaat,North,Chandigarh,Chandigarh,Punjabi,NA,NA,National,Veg,everyday,snack,,Raw,"potatoes, chickpeas, chutneys, onion, sev, spices",https://placehold.co/1200x800?text=Chandigarh%20Street%20Chaat,Wikipedia,https://en.wikipedia.org/wiki/Chandigarh
Z1-CH-02,Tricity Kulcha,Tricity Kulcha,Stuffed tandoor-baked bread,North,Chandigarh,Chandigarh,Punjabi,NA,NA,National,Veg,everyday,lunch,,Tandoor/Clay-Oven,"refined flour, potato, paneer, onion, spices, butter",https://placehold.co/1200x800?text=Tricity%20Kulcha,Wikipedia,https://en.wikipedia.org/wiki/Kulcha
